1	90
2	91
3	94
4	86
5	52
6	18
7	34
8	11
9	81
10	13
11	91
12	82
13	25
14	55
15	44
16	84
17	52
18	22
19	21
20	37
21	42
22	46
23	77
24	53
25	31
26	84
27	66
28	84
29	41
30	67
31	58
32	98
33	0
34	9
35	42
36	57
37	42
38	17
39	89
40	35
41	56
42	67
43	7
44	81
45	59
46	95
47	87
48	54
49	18
50	21
51	74
52	62
53	26
54	82
55	11
56	15
57	83
58	83
59	71
60	42
61	36
62	9
63	5
64	0
65	51
66	56
67	82
68	6
69	23
70	94
71	90
72	36
73	43
74	74
75	92
76	26
77	79
78	48
79	100
80	85
81	5
82	22
83	87
84	65
85	12
86	67
87	33
88	65
89	48
90	76
91	11
92	100
93	16
94	25
95	72
96	6
97	74
98	58
99	39
100	68
